index_oper,geo_lat,geo_lon,region
188484,59.378764,28.618142,47
188485,59.369407,28.604218,47
188490,59.372181,28.218482,47
188491,59.358649,28.202276,47
188498,59.377586,28.608934,47
188502,59.816857,29.974769,47
188505,59.775857,30.044559,47
188506,59.72402,30.266802,47
188507,59.811478,30.072497,47
188508,59.69884,30.112049,47
188513,59.786142,29.925128,47
188514,59.72954,29.862228,47
188515,59.674573,29.852418,47
188516,59.703489,29.951098,47
188517,59.707429,30.019226,47
188518,59.72729,29.940525,47
188520,59.74646,29.62545,47
188523,59.730302,29.409711,47
188524,59.742534,29.218028,47
188525,59.702663,29.052999,47
188527,59.753446,29.71379,47
